1,Nguyen Van A,a1@student.ctu.edu.vn,2001-11-10,1234,avt.jpg
2,Tran Thi B,a2@student.ctu.edu.vn,1998-06-22,hn123,flower1.jpg
3,Nguyen Van A,a3@student.ctu.edu.vn,2003-12-24,1,test.jpg
4,Tran Thi B,a4@student.ctu.edu.vn,2002-05-18,123456,avt.jpg
5,Nguyen Van A,a5@student.ctu.edu.vn,1999-05-04,123456,flower1.jpg
6,Tran Thi B,a6@student.ctu.edu.vn,2000-08-09,pa12,test.jpg
7,Nguyen Van A,a7@student.ctu.edu.vn,2003-09-27,12hm,avt.jpg
8,Tran Thi B,a8@student.ctu.edu.vn,2001-02-29,2201,flower1.jpg
9,Nguyen Van A,a9@student.ctu.edu.vn,1999-11-11,2412,test.jpg
10,Tran Thi B,a10@student.ctu.edu.vn,2000-11-19,1111,avt.jpg
11,Nguyen Van A,a11@student.ctu.edu.vn,2002-01-22,1111,flower1.jpg
